memory_cap_gib,stripe_degree,depth_span,chunk_rows,worker_count,pod_count,workers_per_pod,estimated_max_static_bytes,estimated_routed_expert_weight_bytes,expert_allocation_overhead_factor,estimated_max_peak_bytes,estimated_max_peak_gib,largest_expert_fraction,largest_layer_fraction_estimate,capacity_valid,invalid_reason,valid,ownership_valid,memory_evidence
8,16,4,4,384,24,16,4370192139,3930587136,1.0030678938241964,4903184359,4.566446281038225,0.0625,0.0625,True,,True,True,conservative analytical prefilter; tier winner receives byte-exact manifest
8,16,8,1,192,12,16,8593582294,7861174272,1.0030678938241964,9454925882,8.805585915222764,0.0625,0.0625,False,estimated_worker_peak_exceeds_cap,False,True,conservative analytical prefilter; tier winner receives byte-exact manifest
8,16,8,2,192,12,16,8593582294,7861174272,1.0030678938241964,9455489103,8.806110455654562,0.0625,0.0625,False,estimated_worker_peak_exceeds_cap,False,True,conservative analytical prefilter; tier winner receives byte-exact manifest
8,16,8,4,192,12,16,8593582294,7861174272,1.0030678938241964,9456615544,8.807159535586834,0.0625,0.0625,False,estimated_worker_peak_exceeds_cap,False,True,conservative analytical prefilter; tier winner receives byte-exact manifest
8,32,1,1,2976,93,32,604642037,491323392,1.0,692938109,0.6453489037230611,0.03125,0.03125,True,,True,True,conservative analytical prefilter; tier winner receives byte-exact manifest
8,32,1,2,2976,93,32,604642037,491323392,1.0,693278783,0.6456661811098456,0.03125,0.03125,True,,True,True,conservative analytical prefilter; tier winner receives byte-exact manifest
8,32,1,4,2976,93,32,604642037,491323392,1.0,693960133,0.6463007377460599,0.03125,0.03125,True,,True,True,conservative analytical prefilter; tier winner receives byte-exact manifest
8,32,2,1,1504,47,32,1135876685,982646784,1.0,1269207286,1.182041397318244,0.03125,0.03125,True,,True,True,conservative analytical prefilter; tier winner receives byte-exact manifest
8,32,2,2,1504,47,32,1135876685,982646784,1.0,1269577493,1.1823861794546247,0.03125,0.03125,True,,True,True,conservative analytical prefilter; tier winner receives byte-exact manifest
8,32,2,4,1504,47,32,1135876685,982646784,1.0,1270317906,1.1830757427960634,0.03125,0.03125,True,,True,True,conservative analytical prefilter; tier winner receives byte-exact manifest
8,32,4,1,768,24,32,2185096070,1965293568,1.0,2450907134,2.2825851421803236,0.03125,0.03125,True,,True,True,conservative analytical prefilter; tier winner receives byte-exact manifest
