workers,rtt_ms,bandwidth_gbps,transmission_ms,projected_distributed_layer_p50_ms,whole_layer_relative_throughput,break_even_vs_resident,useful_90_percent_capacity
4,1.0,0.5,1.605632,6.04018795972538,0.6092277300866158,False,False
4,1.0,1.0,0.802816,5.23737195972538,0.7026138353925414,False,False
4,1.0,2.5,0.3211264,4.7556823597253794,0.7737796012542133,False,False
4,1.0,5.0,0.1605632,4.59511915972538,0.8008171000771002,False,False
4,1.0,10.0,0.0802816,4.51483755972538,0.8150570095425164,False,False
4,1.0,25.0,0.03211264,4.46666859972538,0.8238466583856803,False,False
4,1.0,100.0,0.00802816,4.44258411972538,0.8283129594915744,False,False
4,2.0,0.1,8.02816,13.46271595972538,0.2733363766277562,False,False
4,2.0,0.25,3.211264,8.64581995972538,0.42562186318264306,False,False
4,2.0,0.5,1.605632,7.04018795972538,0.5226920106467643,False,False
4,2.0,1.0,0.802816,6.23737195972538,0.5899680223915998,False,False
4,2.0,2.5,0.3211264,5.7556823597253794,0.6393420918689433,False,False
4,2.0,5.0,0.1605632,5.59511915972538,0.6576892993608048,False,False
4,2.0,10.0,0.0802816,5.51483755972538,0.6672635340837209,False,False
4,2.0,25.0,0.03211264,5.46666859972538,0.6731430546539549,False,False
4,2.0,100.0,0.00802816,5.44258411972538,0.6761218419506352,False,False
4,5.0,0.1,8.02816,16.46271595972538,0.22352630082438626,False,False
4,5.0,0.25,3.211264,11.64581995972538,0.3159803270809602,False,False
4,5.0,0.5,1.605632,10.04018795972538,0.36651206279814025,False,False
4,5.0,1.0,0.802816,9.23737195972538,0.3983654675858045,False,False
4,5.0,2.5,0.3211264,8.75568235972538,0.42028134973542114,False,False
4,5.0,5.0,0.1605632,8.59511915972538,0.4281325170269744,False,False
4,5.0,10.0,0.0802816,8.514837559725379,0.43216913701389303,False,False
4,5.0,25.0,0.03211264,8.466668599725379,0.4346278535242726,False,False
4,5.0,100.0,0.00802816,8.44258411972538,0.4358677328902585,False,False
4,10.0,0.1,8.02816,21.46271595972538,0.17145313793954176,False,False
4,10.0,0.25,3.211264,16.64581995972538,0.22106751177793646,False,False
4,10.0,0.5,1.605632,15.04018795972538,0.24466781996700465,False,False
4,10.0,1.0,0.802816,14.23737195972538,0.2584641330162297,False,False
4,10.0,2.5,0.3211264,13.75568235972538,0.26751490066200284,False,False
4,10.0,5.0,0.1605632,13.59511915972538,0.2706743469304268,False,False
4,10.0,10.0,0.0802816,13.514837559725379,0.2722822219459051,False,False
4,10.0,25.0,0.03211264,13.466668599725379,0.27325614889454114,False,False
4,10.0,100.0,0.00802816,13.44258411972538,0.27374572978124506,False,False
4,20.0,0.1,8.02816,31.46271595972538,0.11695907005328092,False,False
4,20.0,0.25,3.211264,26.64581995972538,0.138102336710299,False,False
4,20.0,0.5,1.605632,25.04018795972538,0.14695776269406077,False,False
4,20.0,1.0,0.802816,24.23737195972538,0.15182545393595942,False,False
4,20.0,2.5,0.3211264,23.75568235972538,0.15490399072849617,False,False
4,20.0,5.0,0.1605632,23.595119159725378,0.15595810197395205,False,False
4,20.0,10.0,0.0802816,23.51483755972538,0.1564905558311233,False,False
4,20.0,25.0,0.03211264,23.46666859972538,0.1568117768554103,False,False
4,20.0,100.0,0.00802816,23.442584119725378,0.15697288239241725,False,False
8,0.1,0.1,5.7344,9.367665957212449,0.3915382995884957,False,False
8,0.1,0.25,2.29376,5.927025957212448,0.618826377086597,False,False
8,0.1,0.5,1.14688,4.780145957212448,0.7672987462790539,False,False
8,0.1,1.0,0.57344,4.206705957212448,0.8718935997205871,False,False
8,0.1,2.5,0.229376,3.862641957212448,0.9495573342363164,False,True
8,0.1,5.0,0.114688,3.7479539572124483,0.9786139429332629,False,True
8,0.1,10.0,0.057344,3.6906099572124482,0.9938194614232069,False,True
8,0.1,25.0,0.0229376,3.6562035572124483,1.0031717169479462,True,True
8,0.1,100.0,0.0057344,3.6390003572124483,1.0079141632208062,True,True
8,0.25,0.1,5.7344,9.517665957212447,0.38536759080313765,False,False
8,0.25,0.25,2.29376,6.077025957212448,0.6035518073848136,False,False
8,0.25,0.5,1.14688,4.9301459572124475,0.7439536337933917,False,False
8,0.25,1.0,0.57344,4.356705957212448,0.8418745804793236,False,False
8,0.25,2.5,0.229376,4.012641957212448,0.9140611196090848,False,True
8,0.25,5.0,0.114688,3.897953957212448,0.9409551883529587,False,True
8,0.25,10.0,0.057344,3.840609957212448,0.9550045541886072,False,True
8,0.25,25.0,0.0229376,3.806203557212448,0.9636373737946345,False,True
