inventory_id,arm,network_mode,concurrency,network_bytes,transfer_count,network_queue_wait_ms,maximum_tx_utilization,maximum_rx_utilization,maximum_directed_link_utilization,target_rows_measured,network_bytes_per_target_row
coarse-friendly-03,FLEX_POOL,LEGACY_DIRECTED_LINK,128,8440488576,87849,0.0,0.004248767397532491,0.004960114300043996,0.0007868398947857414,2193,3848832.0
coarse-friendly-03,FLEX_POOL,SHARED_NIC,1,8367685632,86656,24480.97894409892,0.024722578869627893,0.02886173930265597,0.004578436411441948,2176,3845443.7647058824
coarse-friendly-03,FLEX_POOL,SHARED_NIC,8,7866129024,81121,24900.76474409347,0.11155383634580993,0.13023065918011065,0.02065893484878909,2057,3824078.2809917354
coarse-friendly-03,FLEX_POOL,SHARED_NIC,32,6304935168,65021,20073.269799469057,0.08907132491983599,0.10398402904224055,0.016495342147713882,1649,3823490.095815646
coarse-friendly-03,FLEX_POOL,SHARED_NIC,64,4228565760,43633,13440.302383503957,0.059295493471770745,0.0692229998912868,0.010981081212328206,1105,3826756.3438914027
coarse-friendly-03,FLEX_POOL,SHARED_NIC,128,8386718976,86485,26656.757034636277,0.059012288876049444,0.06889237996469579,0.010928633842667648,2193,3824313.2585499315
coarse-friendly-03,FLEX_POOL_NO_ALT,SHARED_NIC,1,8375058432,87168,25539.801356903674,0.023663747530888218,0.02762563386942668,0.004382348779143315,2176,3848832.0
coarse-friendly-03,FLEX_POOL_NO_ALT,SHARED_NIC,8,7917047424,82401,27326.28103768708,0.1094202412386279,0.12773984840807742,0.020263809017559673,2057,3848832.0
coarse-friendly-03,FLEX_POOL_NO_ALT,SHARED_NIC,32,6346723968,66057,21854.674896957385,0.08676245954579416,0.10128860350180914,0.016067757576000076,1649,3848832.0
coarse-friendly-03,FLEX_POOL_NO_ALT,SHARED_NIC,64,4252959360,44265,14575.897056807786,0.058292264894391474,0.06805180647275284,0.010795290794916888,1105,3848832.0
coarse-friendly-03,FLEX_POOL_NO_ALT,SHARED_NIC,128,8440488576,87849,29011.684167761443,0.057903164677777806,0.0675975614251902,0.010723232349524199,2193,3848832.0
coarse-friendly-03,U_STRONG,LEGACY_DIRECTED_LINK,1,7121403904,60928,0.0,0.0032195281298235037,0.004670161958573623,0.0015567206528578753,2176,3272704.0
coarse-friendly-03,U_STRONG,LEGACY_DIRECTED_LINK,8,6731952128,57596,0.0,0.003043460185224356,0.004414762476464964,0.001471587492154989,2057,3272704.0
coarse-friendly-03,U_STRONG,LEGACY_DIRECTED_LINK,32,5396688896,46172,0.0,0.0024397986608899204,0.0035391071092432517,0.0011797023697477517,1649,3272704.0
coarse-friendly-03,U_STRONG,LEGACY_DIRECTED_LINK,64,3616337920,30940,0.0,0.0016349166284407256,0.002371566619609537,0.0007905222065365135,1105,3272704.0
coarse-friendly-03,U_STRONG,LEGACY_DIRECTED_LINK,128,7177039872,61404,0.0,0.001622340346679455,0.002353323799452837,0.0007844412664842794,2193,3272704.0
coarse-friendly-03,U_STRONG,SHARED_NIC,1,7121403904,60928,1509.3985279970425,0.00978038663012056,0.01418716896958285,0.004729056323194286,2176,3272704.0
coarse-friendly-03,U_STRONG,SHARED_NIC,8,6731952128,57596,1907.9521462969506,0.04100426355136468,0.059479695177382504,0.019826565059127513,2057,3272704.0
coarse-friendly-03,U_STRONG,SHARED_NIC,32,5396688896,46172,1514.0696678979075,0.032725983964491286,0.0474714427720302,0.015823814257343412,1649,3272704.0
coarse-friendly-03,U_STRONG,SHARED_NIC,64,3616337920,30940,1048.739031800018,0.021815746140983652,0.0316453416827598,0.010548447227586613,1105,3272704.0
coarse-friendly-03,U_STRONG,SHARED_NIC,128,7177039872,61404,2056.030365698287,0.021839967048623954,0.0316804758878055,0.010560158629268505,2193,3272704.0
memory-fragmented-01,FLEX_FREE,SHARED_NIC,1,6934233088,59008,941.2353638410646,0.006567145410593943,0.010058386393353836,0.004552926517329727,2176,3186688.0
memory-fragmented-01,FLEX_FREE,SHARED_NIC,8,6555017216,55781,1238.466286201954,0.03518705917433102,0.053893284691136155,0.0243947841513034,2057,3186688.0
memory-fragmented-01,FLEX_FREE,SHARED_NIC,32,5254848512,44717,1002.6259562088853,0.028193164936235686,0.04318128027479857,0.019545997571268788,1649,3186688.0
memory-fragmented-01,FLEX_FREE,SHARED_NIC,64,3521290240,29965,657.5010662200366,0.018783185687544356,0.02876874616460622,0.013022166991885532,1105,3186688.0
memory-fragmented-01,FLEX_FREE,SHARED_NIC,128,6988406784,59469,1329.8643750037809,0.018732618612735934,0.02869129650491307,0.0129871094194694,2193,3186688.0
memory-fragmented-01,FLEX_FREE_NO_ALT,SHARED_NIC,1,6934233088,59008,941.2353638410646,0.006567145410593943,0.010058386393353836,0.004552926517329727,2176,3186688.0
memory-fragmented-01,FLEX_FREE_NO_ALT,SHARED_NIC,8,6555017216,55781,1238.466286201954,0.03518705917433102,0.053893284691136155,0.0243947841513034,2057,3186688.0
memory-fragmented-01,FLEX_FREE_NO_ALT,SHARED_NIC,32,5254848512,44717,1002.6259562088853,0.028193164936235686,0.04318128027479857,0.019545997571268788,1649,3186688.0
memory-fragmented-01,FLEX_FREE_NO_ALT,SHARED_NIC,64,3521290240,29965,657.5010662200366,0.018783185687544356,0.02876874616460622,0.013022166991885532,1105,3186688.0
memory-fragmented-01,FLEX_FREE_NO_ALT,SHARED_NIC,128,6988406784,59469,1329.8643750037809,0.018732618612735934,0.02869129650491307,0.0129871094194694,2193,3186688.0
memory-fragmented-01,FLEX_POOL,LEGACY_DIRECTED_LINK,1,6934233088,59008,0.0,0.002466415072082257,0.003777616338656845,0.0017099372531496012,2176,3186688.0
memory-fragmented-01,FLEX_POOL,LEGACY_DIRECTED_LINK,8,6555017216,55781,0.0,0.002331532997827402,0.0035710279451360047,0.0016164250596177358,2057,3186688.0
memory-fragmented-01,FLEX_POOL,LEGACY_DIRECTED_LINK,32,5254848512,44717,0.0,0.001869080171814739,0.002862724881642079,0.0012958118246540994,1649,3186688.0
memory-fragmented-01,FLEX_POOL,LEGACY_DIRECTED_LINK,64,3521290240,29965,0.0,0.001252476403797037,0.0019183207969822565,0.000868327511368684,1105,3186688.0
memory-fragmented-01,FLEX_POOL,LEGACY_DIRECTED_LINK,128,6988406784,59469,0.0,0.0012428419699194845,0.001903564483155949,0.0008616480689720203,2193,3186688.0
memory-fragmented-01,FLEX_POOL,SHARED_NIC,1,6934233088,59008,941.2353638410646,0.006567145410593943,0.010058386393353836,0.004552926517329727,2176,3186688.0
memory-fragmented-01,FLEX_POOL,SHARED_NIC,8,6555017216,55781,1238.466286201954,0.03518705917433102,0.053893284691136155,0.0243947841513034,2057,3186688.0
