scenario,network_stress_percent,layer,layer_type,rows,concurrency,arm,status,warmup_blocks_per_stream,measured_blocks_per_stream,measured_blocks,measured_rows,measurement_window_ms,aggregate_blocks_per_second,aggregate_rows_per_second,p50_block_latency_ms,p95_block_latency_ms,total_network_bytes,moe_network_bytes,moe_network_bytes_per_row,moe_network_messages,moe_network_messages_per_block,worker_compute_ms,compute_queue_wait_ms,network_queue_wait_ms,task_count_simulated,task_graph_replication_factor,evidence_class
COMMODITY_GOOD,10.0,91,GATED_MLA,1,8,C_SLICE_LATENT,PASS,2,32,256,256,2432.3191817777492,105.24934470684602,105.24934470684602,75.95959999999832,77.49348750000104,301170688,183271424,715904.0,10752,42.0,5518.506666666761,19880.724415333058,4603.698393555663,31552,1,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_GOOD,10.0,91,GATED_MLA,1,8,D_FUSE_OUTPUT,PASS,2,32,256,256,1760.4471817777662,145.41759767054273,145.41759767054273,54.96360000000004,56.771849999999176,249790464,131891200,515200.0,8960,35.0,4876.019200000075,12958.613410999873,6012.644192555756,31280,1,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_GOOD,10.0,91,GATED_MLA,1,32,A_CURRENT,PASS,2,8,256,256,2430.707199999964,105.31914333408967,105.31914333408967,303.83839999999327,305.2843000000047,375029760,257130496,1004416.0,10752,42.0,5518.506666666761,74552.59066688892,13271.148784001423,37120,1,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_GOOD,10.0,91,GATED_MLA,1,32,B_RETAIN_HIDDEN,PASS,2,8,256,256,2430.707199999955,105.31914333409009,105.31914333409009,303.83839999999327,304.8954250000047,323649536,205750272,803712.0,10752,42.0,5518.506666666761,86829.38428266461,19446.63103500107,37120,1,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_GOOD,10.0,91,GATED_MLA,1,32,C_SLICE_LATENT,PASS,2,8,256,256,2430.707199999955,105.31914333409009,105.31914333409009,303.83839999999327,304.8954250000047,301170688,183271424,715904.0,10752,42.0,5518.506666666761,86829.38428266461,19445.315232334422,37120,1,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_GOOD,10.0,91,GATED_MLA,1,32,D_FUSE_OUTPUT,PASS,2,8,256,256,1758.8351999999886,145.55087366912014,145.55087366912014,219.85439999999653,220.5916000000048,249790464,131891200,515200.0,8960,35.0,4876.019200000075,58274.10905533288,32350.65945755923,36800,1,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_GOOD,10.0,91,GATED_MLA,1,128,A_CURRENT,PASS,2,4,512,512,4861.414400000167,105.3191433340845,105.3191433340845,1215.3536000000313,1254.3024499999717,750059520,514260992,1004416.0,21504,42.0,11037.013333333576,605900.6335111224,113370.00660200257,89088,1,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_GOOD,10.0,91,GATED_MLA,1,128,B_RETAIN_HIDDEN,PASS,2,4,512,512,4861.414400000105,105.31914333408585,105.31914333408585,1215.3536000000313,1253.2148849999717,647299072,411500544,803712.0,21504,42.0,11037.013333333576,705826.4717247847,177031.34611604636,89088,1,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_GOOD,10.0,91,GATED_MLA,1,128,C_SLICE_LATENT,PASS,2,4,512,512,4861.414400000105,105.31914333408585,105.31914333408585,1215.3536000000313,1253.2148849999717,602341376,366542848,715904.0,21504,42.0,11037.013333333576,705826.4717247847,177027.66631337727,89088,1,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_GOOD,10.0,91,GATED_MLA,1,128,D_FUSE_OUTPUT,PASS,2,4,512,512,3517.6703999999045,145.55087366912315,145.55087366912315,879.4175999999861,917.2788849999846,499580928,263782400,515200.0,17920,35.0,9752.038400000374,471651.92257409653,286968.0745100966,88320,1,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_GOOD,10.0,91,GATED_MLA,2,1,A_CURRENT,PASS,2,256,256,512,5715.0344533333355,44.79413065492302,89.58826130984605,22.32435333333334,22.32435333333334,750059520,514260992,1004416.0,10752,42.0,6761.830399999999,0.0,0.0,348,256,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_GOOD,10.0,91,GATED_MLA,2,1,B_RETAIN_HIDDEN,PASS,2,256,256,512,4779.470961777777,53.56241350711711,107.12482701423421,18.669808444444442,18.669808444444442,647299072,411500544,803712.0,10752,42.0,6761.830399999999,193.99679999999898,1014.9394204444488,348,256,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_GOOD,10.0,91,GATED_MLA,2,1,C_SLICE_LATENT,PASS,2,256,256,512,4773.7620480000005,53.62646848039962,107.25293696079925,18.647508000000002,18.647508000000002,602341376,366542848,715904.0,10752,42.0,6761.830399999999,193.99679999999898,1014.9394204444488,348,256,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_GOOD,10.0,91,GATED_MLA,2,1,D_FUSE_OUTPUT,PASS,2,256,256,512,4461.851648,57.37528277408116,114.75056554816231,17.429108,17.429108,499580928,263782400,515200.0,8960,35.0,6101.555199999998,193.99679999999898,1014.9394204444488,345,256,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_GOOD,10.0,91,GATED_MLA,2,8,A_CURRENT,PASS,2,32,256,512,2619.9525885555577,97.71169185208001,195.42338370416002,81.83159999999873,84.53400000000147,750059520,514260992,1004416.0,10752,42.0,6761.830400000492,18147.08761344428,3755.332224222091,31552,1,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_GOOD,10.0,91,GATED_MLA,2,8,B_RETAIN_HIDDEN,PASS,2,32,256,512,2619.952588555557,97.71169185208002,195.42338370416005,81.83160000000134,83.49614999999969,647299072,411500544,803712.0,10752,42.0,6761.830400000492,21646.300895333345,3517.1212031109894,31552,1,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_GOOD,10.0,91,GATED_MLA,2,8,C_SLICE_LATENT,PASS,2,32,256,512,2619.952588555557,97.71169185208002,195.42338370416005,81.83160000000134,83.49614999999969,602341376,366542848,715904.0,10752,42.0,6761.830400000492,21646.345496222235,3508.0530439998915,31552,1,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_GOOD,10.0,91,GATED_MLA,2,8,D_FUSE_OUTPUT,PASS,2,32,256,512,1930.5957885555788,132.60155311513057,265.20310623026114,60.289200000001074,61.751599999999414,499580928,263782400,515200.0,8960,35.0,6101.555200000378,14788.824394777883,4732.548000000141,31280,1,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_GOOD,10.0,91,GATED_MLA,2,32,A_CURRENT,PASS,2,8,256,512,2618.6111999999903,97.76174485162247,195.52348970324493,327.32639999999265,329.9908500000049,750059520,514260992,1004416.0,10752,42.0,6761.830400000492,82157.38118766645,18148.409981000936,37120,1,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
