edge_class,rtt_ms,bandwidth_gbps,measured_loopback_and_serialization_base_ms,one_way_propagation_ms,wire_transfer_ms,edge_service_ms,stage_bottleneck_ms,pipeline_service_ms,capacity_retention_percent,network_hidden_by_pipeline_ms,network_exposed_to_pipeline_ms,two_stage_sequential_latency_ms,useful_90_percent
kimi_coarse_stage_fp32_v1,2.0,0.5,0.6102000000000003,1.0,4.132528,5.742728,3.026927947998047,5.742728,52.70888588137984,3.026927947998047,2.7158000520019527,10.93650401146698,False
kimi_coarse_stage_fp32_v1,2.0,1.0,0.6102000000000003,1.0,2.066264,3.676464,3.026927947998047,3.676464,82.33258772554407,3.026927947998047,0.6495360520019533,8.87024001146698,False
kimi_coarse_stage_fp32_v1,2.0,2.5,0.6102000000000003,1.0,0.8265056,2.4367056000000002,3.026927947998047,3.026927947998047,100.0,2.4367056000000002,0.0,7.63048161146698,True
kimi_coarse_stage_fp32_v1,2.0,5.0,0.6102000000000003,1.0,0.4132528,2.0234528000000003,3.026927947998047,3.026927947998047,100.0,2.0234528000000003,0.0,7.21722881146698,True
kimi_coarse_stage_fp32_v1,2.0,10.0,0.6102000000000003,1.0,0.2066264,1.8168264000000003,3.026927947998047,3.026927947998047,100.0,1.8168264000000003,0.0,7.01060241146698,True
kimi_coarse_stage_fp32_v1,2.0,25.0,0.6102000000000003,1.0,0.08265056,1.6928505600000003,3.026927947998047,3.026927947998047,100.0,1.6928505600000003,0.0,6.88662657146698,True
kimi_coarse_stage_fp32_v1,2.0,100.0,0.6102000000000003,1.0,0.02066264,1.6308626400000004,3.026927947998047,3.026927947998047,100.0,1.6308626400000004,0.0,6.82463865146698,True
kimi_coarse_stage_fp32_v1,5.0,0.1,0.6102000000000003,2.5,20.66264,23.77284,3.026927947998047,23.77284,12.732714930138961,3.026927947998047,20.74591205200195,28.96661601146698,False
kimi_coarse_stage_fp32_v1,5.0,0.25,0.6102000000000003,2.5,8.265056,11.375256,3.026927947998047,11.375256,26.609756721062336,3.026927947998047,8.348328052001953,16.56903201146698,False
kimi_coarse_stage_fp32_v1,5.0,0.5,0.6102000000000003,2.5,4.132528,7.242728,3.026927947998047,7.242728,41.79264978607573,3.026927947998047,4.215800052001953,12.43650401146698,False
kimi_coarse_stage_fp32_v1,5.0,1.0,0.6102000000000003,2.5,2.066264,5.176464,3.026927947998047,5.176464,58.47481887245901,3.026927947998047,2.1495360520019533,10.37024001146698,False
kimi_coarse_stage_fp32_v1,5.0,2.5,0.6102000000000003,2.5,0.8265056,3.9367056000000002,3.026927947998047,3.9367056000000002,76.88987329908659,3.026927947998047,0.9097776520019534,9.13048161146698,False
kimi_coarse_stage_fp32_v1,5.0,5.0,0.6102000000000003,2.5,0.4132528,3.5234528000000003,3.026927947998047,3.5234528000000003,85.90800330851734,3.026927947998047,0.4965248520019534,8.717228811466981,False
kimi_coarse_stage_fp32_v1,5.0,10.0,0.6102000000000003,2.5,0.2066264,3.3168264,3.026927947998047,3.3168264,91.25976409250863,3.026927947998047,0.2898984520019532,8.51060241146698,True
kimi_coarse_stage_fp32_v1,5.0,25.0,0.6102000000000003,2.5,0.08265056,3.19285056,3.026927947998047,3.19285056,94.80330792550613,3.026927947998047,0.16592261200195324,8.38662657146698,True
kimi_coarse_stage_fp32_v1,5.0,100.0,0.6102000000000003,2.5,0.02066264,3.13086264,3.026927947998047,3.13086264,96.6803177286004,3.026927947998047,0.10393469200195327,8.32463865146698,True
kimi_coarse_stage_fp32_v1,10.0,0.1,0.6102000000000003,5.0,20.66264,26.272840000000002,3.026927947998047,26.272840000000002,11.521129607602553,3.026927947998047,23.245912052001955,31.466616011466982,False
kimi_coarse_stage_fp32_v1,10.0,0.25,0.6102000000000003,5.0,8.265056,13.875256,3.026927947998047,13.875256,21.81529442049968,3.026927947998047,10.848328052001953,19.06903201146698,False
kimi_coarse_stage_fp32_v1,10.0,0.5,0.6102000000000003,5.0,4.132528,9.742728,3.026927947998047,9.742728,31.06858723755859,3.026927947998047,6.715800052001953,14.93650401146698,False
kimi_coarse_stage_fp32_v1,10.0,1.0,0.6102000000000003,5.0,2.066264,7.676464000000001,3.026927947998047,7.676464000000001,39.43127914099573,3.026927947998047,4.649536052001954,12.870240011466981,False
kimi_coarse_stage_fp32_v1,10.0,2.5,0.6102000000000003,5.0,0.8265056,6.436705600000001,3.026927947998047,6.436705600000001,47.02604307392972,3.026927947998047,3.409777652001954,11.63048161146698,False
kimi_coarse_stage_fp32_v1,10.0,5.0,0.6102000000000003,5.0,0.4132528,6.023452800000001,3.026927947998047,6.023452800000001,50.252372659051076,3.026927947998047,2.9965248520019543,11.217228811466981,False
kimi_coarse_stage_fp32_v1,10.0,10.0,0.6102000000000003,5.0,0.2066264,5.816826400000001,3.026927947998047,5.816826400000001,52.03744687993519,3.026927947998047,2.789898452001954,11.01060241146698,False
kimi_coarse_stage_fp32_v1,10.0,25.0,0.6102000000000003,5.0,0.08265056,5.692850560000001,3.026927947998047,5.692850560000001,53.17069043172014,3.026927947998047,2.665922612001954,10.88662657146698,False
kimi_coarse_stage_fp32_v1,10.0,100.0,0.6102000000000003,5.0,0.02066264,5.630862640000001,3.026927947998047,5.630862640000001,53.75602534673171,3.026927947998047,2.603934692001954,10.82463865146698,False
kimi_coarse_stage_fp32_v1,20.0,0.1,0.6102000000000003,10.0,20.66264,31.272840000000002,3.026927947998047,31.272840000000002,9.67909517651114,3.026927947998047,28.245912052001955,36.46661601146698,False
kimi_coarse_stage_fp32_v1,20.0,0.25,0.6102000000000003,10.0,8.265056,18.875256,3.026927947998047,18.875256,16.03648685876391,3.026927947998047,15.848328052001953,24.06903201146698,False
kimi_coarse_stage_fp32_v1,20.0,0.5,0.6102000000000003,10.0,4.132528,14.742728,3.026927947998047,14.742728,20.531667870410732,3.026927947998047,11.715800052001953,19.93650401146698,False
kimi_coarse_stage_fp32_v1,20.0,1.0,0.6102000000000003,10.0,2.066264,12.676464000000001,3.026927947998047,12.676464000000001,23.878330329325642,3.026927947998047,9.649536052001954,17.870240011466983,False
kimi_coarse_stage_fp32_v1,20.0,2.5,0.6102000000000003,10.0,0.8265056,11.4367056,3.026927947998047,11.4367056,26.466782077507066,3.026927947998047,8.409777652001953,16.63048161146698,False
kimi_coarse_stage_fp32_v1,20.0,5.0,0.6102000000000003,10.0,0.4132528,11.023452800000001,3.026927947998047,11.023452800000001,27.458982252802375,3.026927947998047,7.996524852001954,16.21722881146698,False
kimi_coarse_stage_fp32_v1,20.0,10.0,0.6102000000000003,10.0,0.2066264,10.8168264,3.026927947998047,10.8168264,27.983512317421003,3.026927947998047,7.789898452001953,16.01060241146698,False
kimi_coarse_stage_fp32_v1,20.0,25.0,0.6102000000000003,10.0,0.08265056,10.69285056,3.026927947998047,10.69285056,28.307960828717004,3.026927947998047,7.665922612001953,15.88662657146698,False
kimi_coarse_stage_fp32_v1,20.0,100.0,0.6102000000000003,10.0,0.02066264,10.63086264,3.026927947998047,10.63086264,28.47302284396788,3.026927947998047,7.603934692001953,15.82463865146698,False
