edge_class,rtt_ms,bandwidth_gbps,measured_loopback_and_serialization_base_ms,one_way_propagation_ms,wire_transfer_ms,edge_service_ms,stage_bottleneck_ms,pipeline_service_ms,capacity_retention_percent,network_hidden_by_pipeline_ms,network_exposed_to_pipeline_ms,two_stage_sequential_latency_ms,useful_90_percent
kimi_coarse_stage_fp32_v1,1.0,0.25,0.40975000000000006,0.5,8.265056,9.174806,3.081055998802185,9.174806,33.58170187797088,3.081055998802185,6.093750001197815,14.423061968093872,False
kimi_coarse_stage_fp32_v1,1.0,0.5,0.40975000000000006,0.5,4.132528,5.042278,3.081055998802185,5.042278,61.104445228965666,3.081055998802185,1.9612220011978145,10.290533968093872,False
kimi_coarse_stage_fp32_v1,1.0,1.0,0.40975000000000006,0.5,2.066264,2.976014,3.081055998802185,3.081055998802185,100.0,2.976014,0.0,8.224269968093871,True
kimi_coarse_stage_fp32_v1,1.0,2.5,0.40975000000000006,0.5,0.8265056,1.7362556,3.081055998802185,3.081055998802185,100.0,1.7362556,0.0,6.984511568093872,True
kimi_coarse_stage_fp32_v1,1.0,5.0,0.40975000000000006,0.5,0.4132528,1.3230028,3.081055998802185,3.081055998802185,100.0,1.3230028,0.0,6.571258768093872,True
kimi_coarse_stage_fp32_v1,1.0,10.0,0.40975000000000006,0.5,0.2066264,1.1163764,3.081055998802185,3.081055998802185,100.0,1.1163764,0.0,6.364632368093872,True
kimi_coarse_stage_fp32_v1,1.0,25.0,0.40975000000000006,0.5,0.08265056,0.9924005600000001,3.081055998802185,3.081055998802185,100.0,0.9924005600000001,0.0,6.240656528093872,True
kimi_coarse_stage_fp32_v1,1.0,100.0,0.40975000000000006,0.5,0.02066264,0.93041264,3.081055998802185,3.081055998802185,100.0,0.93041264,0.0,6.178668608093872,True
kimi_coarse_stage_fp32_v1,2.0,0.1,0.40975000000000006,1.0,20.66264,22.07239,3.081055998802185,22.07239,13.958868970701339,3.081055998802185,18.991334001197814,27.32064596809387,False
kimi_coarse_stage_fp32_v1,2.0,0.25,0.40975000000000006,1.0,8.265056,9.674806,3.081055998802185,9.674806,31.846178608668588,3.081055998802185,6.593750001197815,14.923061968093872,False
kimi_coarse_stage_fp32_v1,2.0,0.5,0.40975000000000006,1.0,4.132528,5.542278,3.081055998802185,5.542278,55.59187032484089,3.081055998802185,2.4612220011978145,10.790533968093872,False
kimi_coarse_stage_fp32_v1,2.0,1.0,0.40975000000000006,1.0,2.066264,3.476014,3.081055998802185,3.476014,88.63761765062468,3.081055998802185,0.3949580011978151,8.724269968093871,False
kimi_coarse_stage_fp32_v1,2.0,2.5,0.40975000000000006,1.0,0.8265056,2.2362556,3.081055998802185,3.081055998802185,100.0,2.2362556,0.0,7.484511568093872,True
