layer,layer_type,group_index,rows,sample_index,cuda_ms,input_copy_ms,output_copy_ms,outer_elapsed_ms,checkpoint_reads_in_timed_region,finite
89,KDA,0,2,28,2.1813759803771973,0.0176,0.0466,2.3154,0,True
89,KDA,0,2,29,1.750815987586975,0.0185,0.0789,1.975,0,True
89,KDA,0,2,30,1.754688024520874,0.0293,0.0541,1.9525,0,True
89,KDA,0,2,31,1.7493120431900024,0.0255,0.0312,1.8804,0,True
89,KDA,0,2,32,1.7656960487365723,0.0193,0.0302,1.8684,0,True
89,KDA,0,2,33,1.7549760341644287,0.0194,0.0295,1.8627,0,True
89,KDA,0,2,34,1.7742719650268555,0.0185,0.0298,1.8768,0,True
89,KDA,0,2,35,1.7576960325241089,0.0189,0.0295,1.8594,0,True
89,KDA,0,2,36,1.7551679611206055,0.0168,0.0308,1.8601,0,True
89,KDA,0,2,37,2.1739840507507324,0.0222,0.0884,2.4145,0,True
89,KDA,0,2,38,1.778432011604309,0.0321,0.0583,1.998,0,True
89,KDA,0,2,39,1.753216028213501,0.1484,0.0313,2.0094,0,True
89,KDA,0,2,40,1.7601920366287231,0.0177,0.0314,1.8637,0,True
89,KDA,0,2,41,1.7555840015411377,0.0198,0.0308,1.8545,0,True
89,KDA,0,2,42,1.7621760368347168,0.0168,0.031,1.8641,0,True
89,KDA,0,2,43,1.7429440021514893,0.0204,0.0295,1.8493,0,True
89,KDA,0,2,44,1.772223949432373,0.0193,0.0464,1.9124,0,True
89,KDA,0,2,45,2.253664016723633,0.0189,0.0963,2.5249,0,True
89,KDA,0,2,46,1.770367980003357,0.033,0.0587,1.9906,0,True
89,KDA,0,2,47,1.767680048942566,0.0256,0.0301,1.9003,0,True
89,KDA,0,2,48,1.745919942855835,0.0174,0.0307,1.8476,0,True
89,KDA,0,2,49,1.7547520399093628,0.0179,0.03,1.8533,0,True
89,KDA,0,2,50,1.7761919498443604,0.0184,0.03,1.8774,0,True
89,KDA,0,2,51,1.754464030265808,0.0199,0.0296,1.8707,0,True
89,KDA,0,2,52,1.745535969734192,0.019,0.0294,1.8575,0,True
89,KDA,0,2,53,1.7621760368347168,0.0183,0.1038,2.0201,0,True
89,KDA,0,2,54,2.180000066757202,0.0631,0.0713,2.6359,0,True
89,KDA,0,2,55,1.7620480060577393,0.0252,0.0315,1.8903,0,True
89,KDA,0,2,56,1.7605119943618774,0.0182,0.031,1.8593,0,True
89,KDA,0,2,57,1.781599998474121,0.0199,0.031,1.8801,0,True
89,KDA,0,2,58,1.776352047920227,0.0177,0.031,1.8707,0,True
89,KDA,0,2,59,1.7453759908676147,0.0178,0.0317,1.8535,0,True
89,KDA,0,2,60,1.7632639408111572,0.0201,0.0297,1.8732,0,True
89,KDA,0,2,61,1.7578879594802856,0.0187,0.0355,1.8781,0,True
89,KDA,0,2,62,2.5267200469970703,0.0136,0.093,2.7696,0,True
89,KDA,0,2,63,1.779039978981018,0.0277,0.0309,1.929,0,True
89,KDA,0,2,64,1.7567039728164673,0.0169,0.0309,1.8538,0,True
89,KDA,0,2,65,1.7533760070800781,0.0188,0.0309,1.8471,0,True
89,KDA,0,2,66,1.755295991897583,0.0176,0.0308,1.846,0,True
89,KDA,0,2,67,1.751423954963684,0.0167,0.0302,1.8407,0,True
89,KDA,0,2,68,1.7537599802017212,0.0171,0.0607,1.9112,0,True
89,KDA,0,2,69,1.7610559463500977,0.0269,0.0672,1.9765,0,True
89,KDA,0,2,70,2.1284799575805664,0.0274,0.0466,2.3038,0,True
89,KDA,0,2,71,1.7740479707717896,0.0209,0.0537,1.9544,0,True
89,KDA,0,2,72,1.7466239929199219,0.023,0.0312,1.8877,0,True
89,KDA,0,2,73,1.77292799949646,0.0198,0.0309,1.8735,0,True
89,KDA,0,2,74,1.7445440292358398,0.0184,0.031,1.8405,0,True
89,KDA,0,2,75,1.7658239603042603,0.0174,0.0302,1.8648,0,True
89,KDA,0,2,76,1.7744640111923218,0.0178,0.058,1.9343,0,True
89,KDA,0,2,77,1.7626240253448486,0.0271,0.067,1.9727,0,True
89,KDA,0,2,78,1.7614719867706299,0.0256,0.0302,1.9077,0,True
89,KDA,0,2,79,2.1573760509490967,0.0186,0.1047,2.4435,0,True
89,KDA,0,2,80,1.7667200565338135,0.0431,0.0299,1.9303,0,True
89,KDA,0,2,81,1.7547839879989624,0.0177,0.031,1.8573,0,True
89,KDA,0,2,82,2.195647954940796,0.0191,0.0683,2.3696,0,True
89,KDA,0,2,83,1.751423954963684,0.0288,0.031,1.8911,0,True
89,KDA,0,2,84,1.7723840475082397,0.0202,0.0303,1.8781,0,True
89,KDA,0,2,85,1.7833919525146484,0.0199,0.0313,1.8879,0,True
89,KDA,0,2,86,1.772063970565796,0.0188,0.0319,1.8868,0,True
89,KDA,0,2,87,2.2258241176605225,0.0199,0.0577,2.4706,0,True
89,KDA,0,2,88,1.7742079496383667,0.0228,0.0324,1.9018,0,True
