inventory_id,arm,network_mode,concurrency,layer_id,logical_group_id,primary_node,alternate_node,selected_primary_count,selected_alternate_count,alternate_selection_rate
coarse-friendly-03,FLEX_FREE,SHARED_NIC,128,6,1,coarse-036,coarse-009,385,260,0.40310077519379844
coarse-friendly-03,FLEX_FREE,SHARED_NIC,128,6,2,coarse-046,coarse-009,516,129,0.2
coarse-friendly-03,FLEX_FREE,SHARED_NIC,128,6,3,coarse-013,coarse-009,527,118,0.18294573643410852
coarse-friendly-03,FLEX_FREE,SHARED_NIC,128,6,4,coarse-047,coarse-009,495,150,0.23255813953488372
coarse-friendly-03,FLEX_FREE,SHARED_NIC,128,6,5,coarse-038,coarse-009,510,135,0.20930232558139536
coarse-friendly-03,FLEX_FREE,SHARED_NIC,128,6,6,coarse-012,coarse-009,479,166,0.25736434108527134
coarse-friendly-03,FLEX_FREE,SHARED_NIC,128,6,7,coarse-025,coarse-009,509,136,0.21085271317829457
coarse-friendly-03,FLEX_FREE,SHARED_NIC,128,27,0,coarse-007,coarse-026,610,35,0.05426356589147287
coarse-friendly-03,FLEX_FREE,SHARED_NIC,128,27,1,coarse-024,coarse-026,550,95,0.14728682170542637
coarse-friendly-03,FLEX_FREE,SHARED_NIC,128,27,2,coarse-045,coarse-026,513,132,0.20465116279069767
coarse-friendly-03,FLEX_FREE,SHARED_NIC,128,27,3,coarse-036,coarse-026,493,152,0.23565891472868217
coarse-friendly-03,FLEX_FREE,SHARED_NIC,128,27,4,coarse-018,coarse-026,618,27,0.04186046511627907
coarse-friendly-03,FLEX_FREE,SHARED_NIC,128,27,5,coarse-034,coarse-026,532,113,0.17519379844961241
coarse-friendly-03,FLEX_FREE,SHARED_NIC,128,27,6,coarse-037,coarse-026,462,183,0.2837209302325581
coarse-friendly-03,FLEX_FREE,SHARED_NIC,128,27,7,coarse-011,coarse-026,540,105,0.16279069767441862
coarse-friendly-03,FLEX_POOL,LEGACY_DIRECTED_LINK,1,2,0,coarse-006,coarse-039,640,0,0.0
