inventory_id,arm,network_mode,concurrency,layer_id,logical_group_id,primary_node,alternate_node,selected_primary_count,selected_alternate_count,alternate_selection_rate
coarse-friendly-01,FLEX_POOL,SHARED_NIC,32,12,5,coarse-005,coarse-014,426,59,0.12164948453608247
coarse-friendly-01,FLEX_POOL,SHARED_NIC,32,12,6,coarse-017,coarse-014,368,117,0.24123711340206186
coarse-friendly-01,FLEX_POOL,SHARED_NIC,32,12,7,coarse-044,coarse-014,338,147,0.3030927835051546
coarse-friendly-01,FLEX_POOL,SHARED_NIC,64,1,0,coarse-008,coarse-019,174,151,0.4646153846153846
coarse-friendly-01,FLEX_POOL,SHARED_NIC,64,1,5,coarse-027,coarse-019,124,201,0.6184615384615385
coarse-friendly-01,FLEX_POOL,SHARED_NIC,64,2,0,coarse-005,coarse-045,135,190,0.5846153846153846
coarse-friendly-01,FLEX_POOL,SHARED_NIC,64,2,1,coarse-027,coarse-005,199,126,0.38769230769230767
coarse-friendly-01,FLEX_POOL,SHARED_NIC,64,12,0,coarse-007,coarse-014,288,37,0.11384615384615385
coarse-friendly-01,FLEX_POOL,SHARED_NIC,64,12,1,coarse-013,coarse-014,289,36,0.11076923076923077
coarse-friendly-01,FLEX_POOL,SHARED_NIC,64,12,2,coarse-047,coarse-014,254,71,0.21846153846153846
coarse-friendly-01,FLEX_POOL,SHARED_NIC,64,12,3,coarse-045,coarse-014,273,52,0.16
coarse-friendly-01,FLEX_POOL,SHARED_NIC,64,12,4,coarse-027,coarse-014,255,70,0.2153846153846154
coarse-friendly-01,FLEX_POOL,SHARED_NIC,64,12,5,coarse-005,coarse-014,290,35,0.1076923076923077
coarse-friendly-01,FLEX_POOL,SHARED_NIC,64,12,6,coarse-017,coarse-014,241,84,0.25846153846153846
coarse-friendly-01,FLEX_POOL,SHARED_NIC,64,12,7,coarse-044,coarse-014,227,98,0.30153846153846153
coarse-friendly-01,FLEX_POOL,SHARED_NIC,128,1,0,coarse-008,coarse-019,357,288,0.44651162790697674
coarse-friendly-01,FLEX_POOL,SHARED_NIC,128,1,5,coarse-027,coarse-019,261,384,0.5953488372093023
coarse-friendly-01,FLEX_POOL,SHARED_NIC,128,2,0,coarse-005,coarse-045,237,408,0.6325581395348837
coarse-friendly-01,FLEX_POOL,SHARED_NIC,128,2,1,coarse-027,coarse-005,398,247,0.3829457364341085
coarse-friendly-01,FLEX_POOL,SHARED_NIC,128,12,0,coarse-007,coarse-014,567,78,0.12093023255813953
coarse-friendly-01,FLEX_POOL,SHARED_NIC,128,12,1,coarse-013,coarse-014,592,53,0.08217054263565891
